Sentences,Categorie
They finished cleaning the kitchen before they went out for lunch.,1
He came outside for a smoke break and saw the van parked in front of our house!,1
I came home from school really tired because I had stayed up too late the night before.,1
They ate dinner early and then they went into the living room to watch T.V. together before everyone went to bed early!,1
We all woke up early on Saturday morning so we could have brunch before the afternoon football game!,1
They ate dinner early and then they all went into the living room to watch T.V. together before everyone went up to bed after midnight!,1
Last night we had dinner together and watched T.V. until we fell asleep on the couch at 10 PM!,1
We all went out to dinner and then we all went to a movie before everyone went home.,1
He came outside for a cigarette break and saw the van parked in front of our house!,1
He saw a van drive up and park in front of our house when he got home from work.,1
We came home from school early because it was snowing!,1
I sat on the porch after dinner talking with my grandparents about their day.,1
She came outside for a cigarette break and saw the van parked in front of our house!,1
We all sat down for lunch together after we finished cleaning the kitchen!,1
We watched T.V. together and fell asleep on the couch at 10 PM last night.,1
They came home from work early because it was snowing outside.,1
He sat on the porch for a while before he went inside to get something to eat.,1
"We all felt really tired after work today, so we went to bed early.",1
We all sat down for a drink of water after we finished eating dinner together!,1
I woke up early this morning because it was snowing outside!,1
They ate dinner early and then they went into the living room to watch T.V. together before everyone went up to bed after midnight!,1
He got up earlier than usual because he wanted to have a relaxing day!,1
We all walked into town for lunch together.,1
They all went out to dinner and then they all went to a movie before everyone went home.,1
Sentences of Past Tense,1
We waited to play hockey.,1
They enjoyed the ride to school.,1
She knew the news would make him happy.,1
The boys studied for hours and hours.,1
I was afraid of what I would face in school today.,1
They had taken another route to get to the store.,1
I watched my dog run around the park.,1
She knew he couldn’t wait to hear the news.,1
I was thinking about my next painting when I heard someone knocking on my door.,1
He wanted to tell his family that he won the game.,1
We were ready to go to dinner with them after they had come home from their trip.,1
They were surprised when they saw the cost for the tickets.,1
She had never been to a football game before.,1
I was surprised when she said they were going on another trip in a month.,1
He felt relieved that his sister had gotten into college without any problem.,1
They looked up at the dark sky when they stood outside.,1
They were hungry and tired after the long flight.,1
She felt nauseous when she woke up in the morning.,1
He had dreamed about this day for a very long time.,1
I was excited to get home and relax for a while after I got off work.,1
The boys were looking forward to staying up late and watching their favorite shows.,1
We walked into the dark room when we heard someone calling our name.,1
He was ready to finally get his family back together.,1
"“Let’s go get something to eat right now,” she said excitedly.",1
"“I think I’m ready to start the next chapter of my life,” she said.",1
“That sounds terrific!” he said when they told him about their plans for the weekend.,1
She knew that she had worked hard enough after the long day at work.,1
We were surprised by how well he did on his math exam today.,1
They were tired of listening to their classmates complain about not getting a good grade.,1
"“I can’t wait for you guys to meet my sister,” she said.",1
He was scared that he wouldn’t be able to get into his favorite college.,1
We walked outside when we heard someone knocking on the door.,1
He was surprised when he realized that they were in the wrong place.,1
She felt like she had made the right decision when she picked up her things and left school.,1
We watched them drive away after we said goodbye to everyone at their party.,1
I could finally go outside and enjoy the sun after I had finished everything.,1
She was sure that she wouldn’t be able to pass the test after studying for hours and hours.,1
“I can’t take it anymore!” he screamed when his mom kept yelling at him.,1
He was worried about not getting a good grade on his last paper.,1
We were surprised when she told us her big news a few months after we had last seen her.,1
I was looking forward to going shopping because I needed some new clothes.,1
We could hear everyone cheering from outside when we finished playing our game.,1
She looked up at the neon lights as they walked down the street.,1
She knew she would be able to get enough sleep after her long day at work.,1
We saw them leave the restaurant after they had finished eating dinner.,1
We were happy when the weather turned sunny again.,1
He wanted to win his first race after practicing for so long.,1
We closed the door when we walked outside.,1
He was surprised when he saw how many people were at his party.,1
I was nervous about seeing my old friends after so long.,1
She was excited to go out and get some ice cream with her best friend.,1
We heard the loud noise again when we were thinking about the past.,1
He felt relieved after he had taken his friends home.,1
She smiled when she opened the present that she had been waiting for all week.,1
He looked down at his phone when it started ringing while he was in class.,1
"“It’s my birthday today,” he said to his friends.",1
"“Let’s go out and celebrate tonight,” she said.",1
She was worried about what her parents would say after they found out about the test results.,1
I felt happy when I had gotten back on track with all of my chores and homework.,1
He realized that he had made a mistake after he got home.,1
We saw the first snowfall of the year when we looked outside one morning.,1
"She looked up at the hot, summer sky as she laid out on her towel.",1
But I was thankful that I finally had some time to myself after everyone left.,1
He loves to play basketball.,2
He goes to school.,2
Does he go to school?,2
She writes an e-mail to her best friend.,2
He thinks he is very handsome.,2
It usually rains every day here.,2
It smells very delicious in the kitchen.,2
We generally sing songs all together.,2
We go to a gallery every Sunday.,2
Does he write an email?,2
The sun rises at the east.,2
She goes to work by car.,2
It doesn’t rain here in the summer.,2
We cook every day.,2
We go to the gym club together.,2
You have a big house.,2
Do we know each other?,2
They sleep in the afternoon.,2
When do they usually talk to each other?,2
The children are at home.,2
The earth goes round the sun.,2
George brushes his teeth twice a day.,2
He gets up early every day.,2
They speak English in USA.,2
I like reading detective stories.,2
I like geography and science.,2
She doesn’t study German on Monday.,2
Does she live in Paris?,2
He doesn’t teach math.,2
Cats hate water.,2
Every child likes an icecream.,2
My mother never lies.,2
The Earth is spherical.,2
She doesn’t use a computer.,2
It snows a lot in winter in Russia.,2
We live in Texas.,2
You go to holiday every summer.,2
Do you like spaghetti?,2
My daughter does the laundry.,2
My brother takes out the trash.,2
The course starts next Sunday.,2
She swims every morning.,2
I don’t wash the dishes.,2
We see them every week.,2
I don’t like tea.,2
She wants to be a dentist.,2
Cows eat grass.,2
My cat runs very fast.,2
She has a beehive full of bees.,2
My son lives in London.,2
They don’t have any money.,2
She plays basketball.,2
He catches the train every morning.,2
My sister works at the theater.,2
Michael doesn’t work.,2
How often do you see George?,2
She doesn’t see Peter every day.,2
My boyfriend loves this song.,2
My father doesn’t speak good English.,2
He goes to football every day.,2
California is not in the United Kingdom.,2
The Queen of England lives in Buckingham Palace.,2
Julie talks very fast.,2
My brother’s dog barks a lot.,2
Does he play tennis?,2
The train leaves every morningat 18 AM.,2
Water freezes at 0°C,2
I love my new pets.,2
We drink coffee every morning.,2
My Dad never works on the weekends.,2
She doesn’t teach chemistry.,2
I do love my new pets.,2
Mary brushes her teeth twice a day.,2
He drives to work.,2
Mary enjoys cooking.,2
She likes bananas.,2
You don’t listen to me.,2
I run four miles every morning.,2
They speak English at work.,2
The train does not leave at 12 AM.,2
I have no money at the moment.,2
Do they talk a lot ?,2
Tomorrow early morning first I go to morning walk.,2
Does she drink coffee?,2
You run to the party.,2
You have some schoolwork to do.,2
Do you eat ice cream?,2
The train leaves in ten minutes.,2
Do pigs like milk?,2
California is in America.,2
Rock wants to sing.,2
Bill writes the letters.,2
Peter is coming to our place.,2
Bob has given the book to Allen.,2
I am going to the varsity.,2
Aric loves to read books.,2
Lisa has been living in this area for twenty years.,2
The singer is singing nicely.,2
The program is going on smoothly.,2
Alice prefers coffee to tea.,2
Alana attends the class every day.,2
Tom is talented enough to do the task.,2
Rick is upset.,2
Richard is interested to perform in the program.,2
The movie is fantastic.,2
The detective book is thrilling.,2
The actor is talented.,2
We are excited to go to the picnic.,2
We have been trying to solve the problem for two hours.,2
Patrick is going to the library.,2
I write articles on different topics.,2
He reads various kinds of books.,2
They love to play football.,2
She prefers coffee to tea.,2
He goes to the library every day.,2
We come for shopping in this market.,2
We watch movies in this Cineplex.,2
You always shop in that market.,2
"I sing different kinds of songs, especially modern.",2
I love to listen to melodious songs.,2
He loves to travel around the world.,2
They always play cricket in that field.,2
The poet writes romantic poems.,2
The lyricist writes realistic songs.,2
Do you love to listen to realistic songs?,2
I do not like to quarrel.,2
I am a peace-loving person.,2
I know how to protest against injustice.,2
Do you like to watch cricket?,2
I love my parents and my elder brother.,2
I am writing articles on different topics.,2
He is reading various kinds of books.,2
They are playing football now.,2
She is drinking coffee.,2
He is going to the library.,2
We are coming for shopping in this market.,2
We are watching a movie in this Cineplex.,2
You are shopping in that market.,2
"I am singing different kinds of songs, especially modern.",2
I am listening to melodious songs.,2
He is traveling around the world.,2
They are playing cricket in that field.,2
The poet is writing romantic poems.,2
The lyricist is writing realistic songs.,2
Are you listening to realistic songs?,2
I am not quarreling with you.,2
Are you coming to our home?,2
I am helping him to do the task.,2
My mom is cooking beef with cabbage.,2
Are you watching cricket on television?,2
I have written articles on different topics.,2
He has read various kinds of books.,2
They have played football.,2
She has taken coffee.,2
He has gone to the library.,2
We have shopped in this market.,2
We have watched movies in this Cineplex.,2
You have shopped in that market.,2
"I have sung different kinds of songs, especially modern.",2
I have listened to melodious songs.,2
He has traveled around the world.,2
They have played cricket in that field.,2
The poet has written romantic poems.,2
The lyricist has written realistic songs.,2
Have you listened to realistic songs?,2
I have not quarreled with you.,2
Have you been to this place before?,2
I have helped him to do the task.,2
My mom has cooked beef with cabbage.,2
I have watched the cricket match on television.,2
I have been writing articles on different topics since morning.,2
He has been reading the book for two hours.,2
They have been playing football for an hour.,2
She has been finding the dress since morning.,2
He has been studying in the library for three hours.,2
We have been shopping at this fair for two hours.,2
We have been watching a movie in this Cineplex for two hours.,2
You have been shopping in that market for three hours.,2
"I have been singing different kinds of songs, especially modern.",2
I have been listening to melodious songs for an hour.,2
He has been traveling around the world for a month.,2
They have been playing cricket in that field for five hours.,2
The poet has been writing romantic poems for several hours.,2
The lyricist has been writing realistic songs since the beginning of his career.,2
Have you been listening to realistic songs since morning?,2
I have not been watching the cricket match for an hour.,2
Have you been preparing the assignment for two hours?,2
I have been helping him to do the task for an hour.,2
My mom has been cooking for three hours.,2
I have been watching the concert for an hour.,2
London is the capital of Britain.,2
He works at McDonald’s.,2
He is working at McDonald's.,2
He has worked there for three months now.,2
He has been working there for three months now.,2
The next train leaves this evening at 17.00.,2
I'll phone you when I get home.,2
He is meeting Peter in town this afternoon.,2
I'll come home as soon as I have finished work.,2
You will be tired out after you have been working all night.,2
I play every Tuesday,2
"Between two evils, I always pick the one I have never tried before.",2
"Before I refuse to take your questions, I have an opening statement. ",2
I like the word indolence. It makes my laziness seem classy,2
I love deadlines. I like the whooshing sound they make as they fly by. ,2
My family goes to France every summer.,2
I base most of my fashion taste on what doesn't itch.,2
War does not determine who is right - only who is left. ,2
I am playing at the moment.,2
I am not getting any younger!,2
My family is emigrating to Australia next June.,2
People rarely succeed unless they have fun in what they are doing. ,2
I am not afraid of storms for I am learning how to sail my ship. ,2
I am returning this otherwise good typing paper to you because someone has printed gibberish all over it and put your name at the top.,2
A lot of good arguments are spoiled by some fool who knows what he is talking about. ,2
A fellow who is always declaring he's no fool usually has his suspicions.,2
My father goes to gym every day.,2
"As long as you're having fun, that's the key. The moment it becomes a grind, it's over.  ",2
Middle age is when you're sitting at home on a Saturday night and the telephone rings and you hope it isn't for you.,2
I'm leaving because the weather is too good. I hate London when it's not raining. ,2
I have played for his team before.,2
Don't take the wrong side of an argument just because your opponent has taken the right side.,2
Poets have been mysteriously silent on the subject of cheese.,2
"If I have seen further than others, it is by standing upon the shoulders of giants.",2
Only the dead have seen the end of the war. ,2
It has been my experience that folks who have no vices have very few virtues.,2
"Like all great travellers, I have seen more than I remember, and remember more than I have seen. ",2
I have taken more out of alcohol than alcohol has taken out of me.,2
"I may not have gone where I intended to go, but I think I have ended up where I intended to be. ",2
I've failed over and over and over again in my life and that is why I succeed.  ,2
Our scientific power has outrun our spiritual power. We have guided missiles and misguided men. ,2
I have been playing for a year.,2
Fiona has not been playing well for 2 months.,2
My grandparents have been living in this house for 50 years.,2
Mary has been relying on a pay rise to pay her credit card bills.,2
"We have been learning since we were children how to make money, buy things, and build things. The whole education system is set up to teach us how to think, not to feel. ",2
My son has been laughing at inappropriate situations for the past two years.,2
"While I thought that I was learning how to live, I have been learning how to die. ",2
"Well, I think money has been going into political campaigns for a very long time.",2
"I have been doing marriage counseling for about 15 years and I realized that what makes one person feel loved, doesn't make another person feel loved. ",2
Either I've been something or nothing has been going on.,2
The sun sets in the west.,2
We produce lasers for cosmetic surgery.,2
They move into their new home next week.,2
"So, I go to Mr. D and say “I deserve a better mark in this class”.",2
Jones stops in mid-court and passes the ball to Schuster.,2
She loves to play basketball.,2
She thinks he is very handsome.,2
I run every weekend.,2
We play tennis every morning.,2
Does he write an email?,2
They talk too much.,2
Does he go to school?,2
It usually rains every day here.,2
It smells very delicious in the kitchen.,2
My son lives in London.,2
My sisters do the ironing.,2
They make the bed.,2
My father always washes the cars.,2
My teacher sometimes forgets his keys.,2
I like ice-cream.,2
The students wear their uniform.,2
It smells very delicious in the kitchen.,2
Alex brushes her teeth twice a day.,2
He gets up early every day.,2
They speak English in USA.,2
We generally sing songs all together.,2
We go to a gallery every Sunday.,2
They drive their kids to school every day.,2
We walk slowly.,2
She gets up early in the morning.,2
Maria goes to the library every week.,2
The teacher teaches in the classroom.,2
Do you work hard on exams?,2
He goes to school regularly.,2
Martin always wears nice clothes.,2
Do you speak well English?,2
My mom goes to the market every day.,2
The flight arrives at 2 o’clock.,2
Squirrels store nuts for the winter.,2
Rivers flow towards the ocean.,2
James brushes her teeth regularly.,2
He loves to play football every Sunday.,2
Merry and I go to the mall every Saturday,2
My Father works in America.,2
Do other friends also come to you?,2
My mom cooks delicious food.,2
She usually eats healthy food.,2
We never go to the cinema.,2
She often goes to school by bus.,2
Paul doesn’t play the guitar very well.,2
Does he often ride a bicycle?,2
He goes to the gym every day.,2
When do you go to college?,2
Merry goes to the mall every Saturday.,2
His wife sets the table.,2
Do I like fruits?,2
We don’t love flying kites.,2
My son makes his bed.,2
I play chess.,2
My father goes to gym every day.,2
"If he phones, tell him to wait me in the garden.",2
"If you press the button, the television turns on.",2
"Do not wait for me, if i am late to presentation.",2
"If he gets there before me, ask him to wait.",2
"If you don’t talk to me, talk to your psychologist.",2
"If water reaches 100 degrees, it boils.",2
She loves to play basketball.,2
Does he go to school?,2
Alex brushes her teeth twice a day.,2
She thinks he is very handsome.,2
I run every weekend.,2
We play tennis every morning.,2
Does he write an email?,2
You run to the party.,2
You have some schoolwork to do.,2
I am not a doctor.,2
Do you eat ice cream?,2
The train leaves in ten minutes.,2
"If you don’t brush your teeth regularly, your teeth decays.",2
"If you make a cake, you firstly break eggs.",2
Baby wakes up if we make too much noise.,2
"If he is available, ask him to call me.",2
He is not someone who cares about me.,2
Do pigs like milk?,2
California is in America.,2
California is not in the United Kingdom.,2
Windows are made of glass.,2
Windows are not made of wood.,2
They are not conservatives.,2
I am not good.,2
You don’t drink milk at breakfast.,2
"You are not unselfish, are you?",2
"It is not a bad situation, do not worry.",2
"If you throw salt to the water, it boils later.",2
Water boils at 100°C.,2
"If you don’t get your key, you stays out.",2
My parents come home at 7:30 p.m.,2
Do pigs like milk?,2
California is in America.,2
Penguins live in the Antarctica.,2
Nurses work in clinics and hospitals.,2
She does not play tennis.,2
Does he play tennis?,2
The train leaves every morning at 8 AM.,2
The train does not leave at 9 AM.,2
When does the train usually leave?,2
She always forgets her purse.,2
Do not talk to me like that.,2
She looks like an angel.,2
Alex works for 7 hours every day.,2
My aunt lives wiht her daughter.,2
The train does not leave at 12 AM.,2
I have no money at the moment.,2
They don’t work at weekends.,2
Do they talk a lot?,2
She is not my sister.,2
Shall we not go out?,2
Tomorrow early morning first I go to morning walk.,2
Does she drink coffee?,2
I do not like meat.,2
They go to a gallery every Saturday.,2
My sister works at the theater.,2
I don’t prefer my coffee black.,2
It usually rains every day here.,2
It smells very delicious in the kitchen.,2
My son lives in London.,2
My sisters do the ironing.,2
The world revolves around the sun.,2
They make the bed.,2
Are we friends?,2
My father always washes the cars.,2
You prefer studying to going to the parties.,2
My teacher sometimes forgets his keys.,2
I love my mum very much.,2
I like ice-cream.,2
The students wear their uniform.,2
I buy flight ticket every year for holiday.,2
It smells very delicious in the kitchen.,2
They talk too much.,2
He gets up early every day.,2
They speak English in USA.,2
We generally sing songs all together.,2
We go to a gallery every Sunday.,2
They drive their kids to school every day.,2
The children like play toys.,2
We walk slowly.,2
The train leaves at 10:30 in the morning.,2
I usually listen to music in my room.,2
She doesn’t feel so good.,2
Does it want to eat it?,2
They speak English very well.,2
She has black hair.,2
You love me.,2
I cook every day.,2
The sun rises in the east.,2
She plays with her brother.,2
She carries her child to her bed.,2
Does she help Tom?,2
Her brother is very rich.,2
They hire her.,2
I play cricket.,2
He goes to football every day,2
She loves to play basketball,2
She swims every morning,2
We drink coffee every morning,2
We see them every week,2
Do pigs like milk?,2
Do you like spaghetti?,2
My brother’s dog barks a lot,2
The children are at home,2
You have a big house,2
Do they talk a lot ?,2
He drinks tea at breakfast,2
He gets up early every day,2
He goes to school,2
She goes to work by car,2
We go to a gallery every Sunday,2
Does he go to school?,2
Does he write an email?,2
I like ice-cream,2
It doesn’t rain here in the summer,2
My boyfriend loves this song,2
She only eats fish,2
They speak English in USA.,2
Tomorrow early morning first I go to morning walk,2
Does he go to school?,2
Does she live in Paris?,2
He goes to school,2
I don’t like tea,2
It usually rains every day here,2
Mary enjoys cooking,2
My son lives in London,2
Cats hate water,2
Cows eat grass,2
Does he go to school?,2
I do love my new pets,2
I like reading detective stories,2
It mixes the sand and the water,2
We play tennis every morning,2
Alex brushes her teeth twice a day,2
California is not in the United Kingdom,2
It doesn’t rain here in the summer,2
It snows a lot in winter in Russia,2
We catch the bus every morning,2
You have a big house,2
You have some schoolwork to do,2
Does he go to school?,2
He doesn’t teach math,2
It smells very delicious in the kitchen,2
It usually rains every day here,2
She likes bananas,2
They don’t have any money,2
You don’t have children,2
Her mother is Peruvian,2
I like geography and science,2
My brother takes out the trash,2
She plays basketball,2
The train leaves every morning,2
They sleep in the afternoon,2
We live in Texas,2
I love my new pets,2
Julie talks very fast,2
They speak English in USA,2
You go to holiday every summer,2
He goes to school every morning,2
He loves to play basketball,2
He gets up early every day,2
I don’t wash the dishes,2
He loves to play basketball.,2
I don’t fill out the application.,2
I don’t like tea,2
My Dad never works on the weekends,2
She thinks he is very handsome,2
He doesn’t teach math,2
He goes to school,2
I run every weekend,2
She doesn’t teach chemistry,2
She understands English,2
She wants to be a dentist,2
They speak English in USA,2
California is in America,2
Do we know each other?,2
Does he play tennis?,2
I like reading detective stories,2
It snows a lot in winter in Russia,2
My daughter does the laundry,2
The Earth revolves around the Sun,2
We go to a gallery every Sunday,2
Every child likes an ice-cream,2
He catches the train every morning,2
He thinks he is very handsome,2
I run four miles every morning,2
My son lives in London,2
They don’t go to school tomorrow,2
We go to a gallery every Sunday,2
His mother arrives tomorrow,2
The course starts next Sunday,2
We walk slowly,2
You go to holiday every summer,2
I don’t wash the dishes,2
I love my new pets,2
My brother takes out the trash,2
My father goes to gym every day,2
She’ll see you before she leaves,2
The earth goes round the sun,2
Does he write an email?,2
It usually rains every day here,2
My cat runs very fast,2
My mother never lies,2
My sister works at the theater,2
My sisters do the ironing,2
They speak English at work,2
Do you eat ice cream?,2
He gets up early every day,2
They sleep in the afternoon,2
Water freezes at 0°C,2
We cook every day,2
We live in Texas,2
For repeated actions or events,2
He goes to football every day,2
He thinks he is very handsome,2
She goes to work by car,2
The train leaves every morning,2
We go to the gym club together,2
You run to the party,2
Julie talks very fast,2
The Earth is spherical,2
The sun rises at the east,2
The train does not leave at 12 AM,2
They make the bed,2
Does she live in London?,2
Michael doesn’t work,2
My daughter does the laundry,2
Our holiday starts on the 26th March,2
She swims every morning,2
The children are at home,2
The boys are playing cricket on the ground.,2
The train is going to arrive at 6:00 tomorrow morning.,2
He is closing the door,2
Jack is swimming in the pool.,2
John is cutting the tree,2
The Gardener is digging in the garden.,2
The boys are playing cricket on the ground..,2
He is eating an apple.,2
You are opening your box.,2
The baby is crying.,2
I’m just leaving work. I’ll be home in an hour.,2
Please be quiet. The children are sleeping.,2
Mary is going to a new school next term.,2
What are you doing next week?,2
Are you listening?,2
Are they coming to your party?,2
When is she going home?,2
What am I doing here?,2
I am singing at church today.,2
The boys are playing ball after school.,2
She is crying.,2
He is talking to his friend.,2
I am writing articles on different topics.,2
The baby is sleeping in his crib.,2
We are visiting the museum in the afternoon.,2
He is not standing.,2
Anthony is sitting in the chair.,2
You are not watching the movie.,2
honey is singing a fantastic song.,2
Rose is reading a book.,2
She is not going to the game tonight.,2
You are living in London for one year.,2
He is meeting his friends after school.,2
Are you visiting your cousin this weekend?,2
Children are playing on the ground.,2
I am not going to the meeting after work.,2
Is Rony playing football today?,2
Hiya is making pizza now.,2
They are going on the tour during summer vacation.,2
They are eating lunch right now.,2
Jack is learning to play the guitar.,2
Frances is talking on the phone at the moment.,2
We are doing great work.,2
Jack and Jill are always fighting.,2
She is suffering from stomach ache.,2
She is constantly complaining about her sister.,2
I am learning the Spanish language,2
Her mother is forever misplacing her keys.,2
Hiya is learning to drive.,2
I am living with my sister until I find an apartment.,2
Have you ever been to Europe?,2
I have written articles on different topics.,2
Gujarat has been a state since 1960.,2
He has read various kinds of books.,2
Jack has just finished his homework.,2
They have played football.,2
They have already gone for a walk.,2
She has taken coffee.,2
I have just returned from Columbia,2
He has gone to the library.,2
"My brother is sick, we have called the doctor.",2
We have shopped in this market.,2
We have played football on the ground.,2
We have watched movies in this Cineplex.,2
He has written a letter to her friend.,2
You have shopped in that market.,2
They have worked in the field.,2
"I have sung different kinds of songs, especially modern.",2
She has sung a song in the classroom.,2
I have listened to melodious songs.,2
I have planted some plants in my garden.,2
I have woken early in the morning.,2
He has traveled around the world.,2
Harry has brushed her teeth.,2
They have played cricket in that field.,2
They have not traveled to Jupiter.,2
My mom has cooked food.,2
My mom has cooked beef with cabbage.,2
The poet has written romantic poems.,2
They have gone home.,2
The lyricist has written realistic songs.,2
He has drunk water.,2
He has eaten food at my restaurant.,2
Have you listened to realistic songs?,2
They have gone to Canada.,2
I have learned all the sentences.,2
I have not quarreled with you.,2
She has bought a new car.,2
We have worn new cloth.,2
Have you been to this place before?,2
I have helped him to do the task.,2
I have gone to the classroom.,2
We have watched a new horror movie.,2
We have seen that video ten times.,2
I have learned the French language.,2
They have ridden a comic book.,2
I have understood all the equations.,2
I think I have met her once before.,2
I have watched the cricket match on television.,2
Nobody has ever visited that haunted house.,2
They sleep in the afternoon.,2
When do they usually talk to each other?,2
The children are at home.,2
The earth goes round the sun.,2
George brushes his teeth twice a day.,2
He gets up early every day.,2
They speak English in USA.,2
I like reading detective stories.,2
I like geography and science.,2
She doesn’t study German on Monday.,2
Does she live in Paris?,2
He doesn’t teach math.,2
Cats hate water.,2
Every child likes an ice cream.,2
My mother never lies.,2
The Earth is spherical.,2
She doesn’t use a computer.,2
It snows a lot in winter in Russia.,2
We live in Texas.,2
You go to holiday every summer.,2
Do you like spaghetti?,2
My daughter does the laundry.,2
My brother takes out the trash.,2
The course starts next Sunday.,2
She swims every morning.,2
I don’t wash the dishes.,2
We see them every week.,2
I don’t like tea.,2
When does the train usually leave?,2
She always forgets her purse.,2
You don’t have children.,2
I and my sister don’t see each other anymore.,2
They don’t go to school tomorrow.,2
He loves to play basketball.,2
He goes to school.,2
Julie talks very fast.,2
My brother’s dog barks a lot.,2
Does he play tennis?,2
The train leaves every morning at 18 AM.,2
Water freezes at 0°C,2
I love my new pets.,2
We drink coffee every morning.,2
My Dad never works on the weekends.,2
She doesn’t teach chemistry.,2
I do love my new pets.,2
Mary brushes her teeth twice a day.,2
He drives to work.,2
Mary enjoys cooking.,2
She likes bananas.,2
You don’t listen to me.,2
I run four miles every morning.,2
They speak English at work.,2
The train does not leave at 12 AM.,2
I have no money at the moment.,2
Do they talk a lot ?,2
Tomorrow early morning first I go to morning walk.,2
Does she drink coffee?,2
You run to the party.,2
You have some schoolwork to do.,2
Do you eat ice cream?,2
The thief clears the place.,2
The teacher forgives their students.,2
He finishes the race on time.,2
She holds my hand in the crowd.,2
Sammy invites all of us to the party.,2
The actor destroys the shooting area.,2
He involves me in his plan.,2
We develop some software applications.,2
He accepts the invitation.,2
She studies in school,2
He lives in Turkey.,2
John likes ice creams.,2
The course starts on Monday.,2
Jimmy drinks water.,2
He finishes his dinner.,2
My mother takes out the trash.,2
I like to talk to my neighbors.,2
The driver drives the car very fast.,2
I can explain you in detail.,2
The Businessman accepts the deal.,2
I forgive you this time.,2
I do believe in you.,2
I want this car as my birthday gift.,2
We do like each other.,2
The food looks so delicious.,2
We love how to play cricket in off lectures.,2
Robin and his friends bunk the class.,2
We arrange a party.,2
My sister cooks delicious food.,2
My friends and I go for the morning walk.,2
Columbus discovers America.,2
He plays carrom very well.,2
My friend loves to play basketball.,2
Martha goes to school.,2
They write a letter to her brother.,2
An earthworm aerates the soil.,2
The vegetables smell fresh.,2
He increases his charges.,2
Parents receive the information from the school.,2
She improves her skills.,2
The farmer works very hard.,2
The fisherman sleeps on the boat.,2
Eagle flies high in the sky.,2
Scientists discover many things.,2
He measures water to cook food.,2
We meet some strangers on the street.,2
They all leave us quickly.,2
My father’s stick falls from the ceiling.,2
I do love to play cricket.,2
Try to avoid drinking and driving.,2
A tsunami destroys everything.,2
Students fire the bus for some reason.,2
The police officer finds the culprit.,2
They hide their identity.,2
We must contribute something to this organization.,2
The file contains some important information.,2
We continue to dance after dinner.,2
He always corrects me.,2
The coach encourages his players before the match.,2
Some newcomers join the party in between.,2
People who live in big cities don’t go to school on foot every day.,2
Do the girls not prepare coffee for you every morning.,2
Do the boys not walk home now.,2
I do not finish my work at 6 o’clock every night.,2
Do they not pack lunch for Ram everyday.,2
The baby sleeps for six hours every day.,2
We ride our bicycles regularly everyday.,2
He eats an apple after his lunch regularly every day.,2
Do Ram not go to school on foot every day.,2
I do not wake up early in the morning.,2
You do not ask questions in class every day.,2
The baby sleeps regularly at night for two hours.,2
They do not work in a company.,2
Do the boys not walk home now.,2
I do not do my work now.,2
The sun does not set in the west every day.,2
She does not sleep now.,2
We eat dinner at 7 pm daily.,2
He has breakfast everyday after he wakes up from sleep at 7 am.,2
He does not dress himself properly every day.,2
The plane does not land at 9 pm everyday.,2
I buy milk every day.,2
We eat breakfast at 8 am daily.,2
You buy vegetables everyday.,2
They don’t wear new dresses every day.,2
He doesn’t read a book every day.,2
He does not come to school by car.,2
I study English.,2
Ram does not play cricket with his friends on Sundays.,2
Does he go to school by walk everyday.,2
She does not learn English daily.,2
I do not play cricket with my friends on Fridays.,2
Do they not wash their clothes every day.,2
She cleans her house daily.,2
Do the boys play cricket with my friends on Saturdays.,2
Do you not ride your bicycle in the afternoon.,2
Do the boys not play with my friends on Saturdays and Sundays.,2
We exercise daily.,2
He does not do his homework daily.,2
Jack doesn’t wear old dress every day.,2
She does not cook for her mother daily.,2
The sun does not rise from the west every morning.,2
He does not eat an apple after breakfast every day.,2
You do not prepare coffee for me every morning.,2
I do not watch the match on TV every weekend.,2
He is studying.,2
He does not drive a car every day.,2
He does not go to market everyday.,2
They cut grass in the lawn daily.,2
Do the boys sing songs now.,2
He goes to school.,2
Does he go to school?,2
She writes an e-mail to her best friend.,2
He thinks he is very handsome.,2
It usually rains every day here.,2
It smells very delicious in the kitchen.,2
We generally sing songs all together.,2
We go to a gallery every Sunday.,2
Does he write an email?,2
The sun rises at the east.,2
She goes to work by car.,2
It doesn’t rain here in the summer.,2
We cook every day.,2
We go to the gym club together.,2
You have a big house.,2
Do we know each other?,2
They sleep in the afternoon.,2
When do they usually talk to each other?,2
The children are at home.,2
The earth goes round the sun.,2
George brushes his teeth twice a day.,2
He gets up early every day.,2
They speak English in USA.,2
I like reading detective stories.,2
I like geography and science.,2
She doesn’t study German on Monday.,2
Does she live in Paris?,2
He doesn’t teach math.,2
Cats hate water.,2
Every child likes an icecream.,2
My mother never lies.,2
The Earth is spherical.,2
She doesn’t use a computer.,2
It snows a lot in winter in Russia.,2
We live in Texas.,2
You go to holiday every summer.,2
Do you like spaghetti?,2
My daughter does the laundry.,2
My brother takes out the trash.,2
The course starts next Sunday.,2
She swims every morning.,2
I don’t wash the dishes.,2
We see them every week.,2
I don’t like tea.,2
When does the train usually leave?,2
She always forgets her purse.,2
You don’t have children.,2
I and my sister don’t see each other anymore.,2
They don’t go to school tomorrow.,2
She wants to be a dentist.,2
Cows eat grass.,2
My cat runs very fast.,2
She has a beehive full of bees.,2
My son lives in London.,2
They don’t have any money.,2
She plays basketball.,2
